Sales Person,Product,Date,Sales,Boxes,Expenses,Category,Team
Jan Morforth,Spicy Special Slims,2021-11-16,"$7,763",353,"$3,738",Bites,Delish
Dotty Strutley,White Choc,2021-11-16,"$9,387",626,$160,Other,Delish
Barr Faughny,85% Dark Bars,2021-11-16,$966,57,$46,Bars,Yummies
Karlen McCaffrey,Almond Choco,2021-11-16,"$5,278",278,"$4,342",Bars,Yummies
Beverie Moffet,White Choc,2021-11-16,"$18,354",1669,$442,Other,Jucies
Marney O'Breen,Spicy Special Slims,2021-11-16,"$1,330",61,$595,Bites,Yummies
Roddy Speechley,Eclairs,2021-11-16,"$1,155",83,$229,Bites,Delish
Rafaelita Blaksland,Orange Choco,2021-11-16,"$4,669",667,"$6,623",Bars,Yummies
Ches Bonnell,Fruit & Nut Bars,2021-11-16,"$4,676",293,$453,Bars,Tempo
Husein Augar,After Nines,2021-11-16,$602,21,$120,Bites,Yummies
Jehu Rudeforth,99% Dark & Pure,2021-11-19,"$13,090",770,"$3,301",Bars,Tempo
Kelci Walkden,Drinking Coco,2021-11-19,"$11,928",459,"$1,296",Other,Yummies
Andria Kimpton,After Nines,2021-11-19,"$4,634",145,"$1,085",Bites,Jucies
Dennison Crosswaite,Smooth Sliky Salty,2021-11-19,"$5,292",252,"$1,189",Bars,Yummies
Beverie Moffet,Peanut Butter Cubes,2021-11-19,"$9,065",378,"$1,726",Bites,Jucies
Wilone O'Kielt,Spicy Special Slims,2021-11-19,"$12,299",560,"$5,930",Bites,Delish
Husein Augar,Manuka Honey Choco,2021-11-19,"$6,818",273,"$2,133",Other,Yummies
Dennison Crosswaite,Smooth Sliky Salty,2021-11-19,"$3,773",252,"$1,240",Bars,Yummies
Jan Morforth,50% Dark Bites,2021-11-19,"$5,138",367,"$1,223",Bites,Delish
Andria Kimpton,Smooth Sliky Salty,2021-11-19,"$4,557",269,"$1,269",Bars,Jucies
Barr Faughny,Almond Choco,2021-11-19,"$2,751",138,"$1,805",Bars,Yummies
Madelene Upcott,70% Dark Bites,2021-11-19,"$10,906",779,"$6,807",Bites,Jucies
Oby Sorrel,Choco Coated Almonds,2021-11-19,"$5,621",256,"$3,259",Bites,Jucies
Jan Morforth,85% Dark Bars,2021-11-20,"$2,471",155,$114,Bars,Delish
Gigi Bohling,White Choc,2021-11-20,"$6,139",410,$105,Other,Delish
Karlen McCaffrey,Drinking Coco,2021-11-20,"$2,807",128,$336,Other,Yummies
Madelene Upcott,Raspberry Choco,2021-11-20,"$8,169",454,"$3,322",Bars,Jucies
Jan Morforth,Mint Chip Choco,2021-11-20,"$8,785",586,"$1,487",Bars,Delish
Barr Faughny,Peanut Butter Cubes,2021-11-20,"$5,628",256,"$1,145",Bites,Yummies
Husein Augar,White Choc,2021-11-20,"$1,302",77,$17,Other,Yummies
Madelene Upcott,Peanut Butter Cubes,2021-11-20,"$9,282",387,"$1,803",Bites,Jucies
Wilone O'Kielt,Manuka Honey Choco,2021-11-20,"$4,046",162,"$1,253",Other,Delish
Jehu Rudeforth,Drinking Coco,2021-11-20,"$10,605",442,"$1,139",Other,Tempo
Curtice Advani,50% Dark Bites,2021-11-20,"$5,929",539,"$1,358",Bites,Delish
Ches Bonnell,Manuka Honey Choco,2021-11-20,"$2,611",105,$961,Other,Tempo
Gunar Cockshoot,Baker's Choco Chips,2021-11-20,"$7,686",769,"$5,518",Bars,Yummies
Kaine Padly,White Choc,2021-11-20,"$2,786",164,$40,Other,Delish
Jehu Rudeforth,70% Dark Bites,2021-11-20,"$4,123",516,"$4,381",Bites,Tempo
Rafaelita Blaksland,Choco Coated Almonds,2021-11-20,"$1,477",78,"$1,029",Bites,Yummies
Gigi Bohling,Caramel Stuffed Bars,2021-11-20,"$12,040",416,$408,Bars,Delish
Jan Morforth,Fruit & Nut Bars,2021-11-20,"$4,340",310,$563,Bars,Delish
Kelci Walkden,Choco Coated Almonds,2021-11-20,"$2,639",126,"$1,532",Bites,Yummies
Dotty Strutley,Orange Choco,2021-11-21,"$7,931",1322,"$11,500",Bars,Delish
Jan Morforth,Drinking Coco,2021-11-21,"$1,078",45,$107,Other,Delish
Beverie Moffet,85% Dark Bars,2021-11-21,"$8,680",362,$239,Bars,Jucies
Madelene Upcott,99% Dark & Pure,2021-11-21,"$8,967",427,"$2,129",Bars,Jucies
Dotty Strutley,After Nines,2021-11-21,"$12,075",465,"$3,391",Bites,Delish
Gigi Bohling,Fruit & Nut Bars,2021-11-21,"$4,396",294,$436,Bars,Delish
Husein Augar,Organic Choco Syrup,2021-11-21,"$2,877",96,$176,Other,Yummies
Dotty Strutley,Raspberry Choco,2021-11-21,"$1,659",104,$660,Bars,Delish
Marney O'Breen,70% Dark Bites,2021-11-21,$616,42,$325,Bites,Yummies
Ches Bonnell,Almond Choco,2021-11-21,"$7,021",469,"$7,262",Bars,Tempo
Van Tuxwell,70% Dark Bites,2021-11-21,"$3,255",296,"$2,294",Bites,Yummies
Oby Sorrel,Baker's Choco Chips,2021-11-21,"$5,516",613,"$4,138",Bars,Jucies
Jehu Rudeforth,White Choc,2021-11-21,"$18,039",1289,$360,Other,Tempo
Husein Augar,Manuka Honey Choco,2021-11-21,"$12,593",394,"$2,860",Other,Yummies
Madelene Upcott,Organic Choco Syrup,2021-11-21,"$1,981",67,$118,Other,Jucies
Gigi Bohling,Raspberry Choco,2021-11-21,"$6,552",410,"$2,800",Bars,Delish
Ches Bonnell,Raspberry Choco,2021-11-21,"$10,682",629,"$4,181",Bars,Tempo
Marney O'Breen,70% Dark Bites,2021-11-21,"$11,046",789,"$7,089",Bites,Yummies
Jehu Rudeforth,Mint Chip Choco,2021-11-21,"$4,263",225,$612,Bars,Tempo
Barr Faughny,Orange Choco,2021-11-21,"$5,558",464,"$4,893",Bars,Yummies
Van Tuxwell,Manuka Honey Choco,2021-11-22,"$4,214",128,"$1,101",Other,Yummies
Andria Kimpton,85% Dark Bars,2021-11-22,"$7,301",406,$322,Bars,Jucies
Wilone O'Kielt,70% Dark Bites,2021-11-22,"$4,473",373,"$3,259",Bites,Delish
Brien Boise,After Nines,2021-11-22,"$11,081",462,"$3,076",Bites,Jucies
Roddy Speechley,Mint Chip Choco,2021-11-22,"$1,120",75,$180,Bars,Delish
Madelene Upcott,99% Dark & Pure,2021-11-22,"$10,297",430,"$1,923",Bars,Jucies
Oby Sorrel,50% Dark Bites,2021-11-22,"$1,869",234,$721,Bites,Jucies
Brien Boise,85% Dark Bars,2021-11-22,"$12,229",644,$444,Bars,Jucies
Marney O'Breen,Raspberry Choco,2021-11-22,"$7,707",482,"$2,998",Bars,Yummies
Dennison Crosswaite,Manuka Honey Choco,2021-11-22,"$1,351",55,$451,Other,Yummies
Karlen McCaffrey,Organic Choco Syrup,2021-11-22,"$7,035",252,$475,Other,Yummies
Barr Faughny,Drinking Coco,2021-11-22,"$3,178",114,$297,Other,Yummies
Brien Boise,70% Dark Bites,2021-11-22,"$3,668",408,"$3,430",Bites,Jucies
Kaine Padly,Orange Choco,2021-11-22,"$15,295",1700,"$15,386",Bars,Delish
Madelene Upcott,Manuka Honey Choco,2021-11-22,"$9,667",323,"$2,957",Other,Jucies
Oby Sorrel,Almond Choco,2021-11-22,"$7,308",488,"$6,905",Bars,Jucies
Kaine Padly,Raspberry Choco,2021-11-22,"$6,888",328,"$2,060",Bars,Delish
Van Tuxwell,99% Dark & Pure,2021-11-22,"$1,085",46,$240,Bars,Yummies
Jan Morforth,Peanut Butter Cubes,2021-11-22,"$3,549",148,$808,Bites,Delish
Kelci Walkden,Orange Choco,2021-11-23,$245,21,$192,Bars,Yummies
Wilone O'Kielt,Choco Coated Almonds,2021-11-23,$525,24,$292,Bites,Delish
Camilla Castle,Manuka Honey Choco,2021-11-23,"$9,373",313,"$2,421",Other,Tempo
Dennison Crosswaite,99% Dark & Pure,2021-11-23,"$3,822",225,"$1,038",Bars,Yummies
Dotty Strutley,Mint Chip Choco,2021-11-23,"$4,326",206,$453,Bars,Delish
Mallorie Waber,Eclairs,2021-11-23,$427,23,$70,Bites,Tempo
Oby Sorrel,Almond Choco,2021-11-23,"$12,236",816,"$10,784",Bars,Jucies
Gigi Bohling,85% Dark Bars,2021-11-23,"$4,655",259,$213,Bars,Delish
Husein Augar,99% Dark & Pure,2021-11-23,"$1,246",78,$327,Bars,Yummies
Kaine Padly,Caramel Stuffed Bars,2021-11-23,"$11,291",452,$463,Bars,Delish
Gigi Bohling,50% Dark Bites,2021-11-26,"$5,530",395,"$1,062",Bites,Delish
Gunar Cockshoot,White Choc,2021-11-26,"$7,658",851,$197,Other,Yummies
Rafaelita Blaksland,Mint Chip Choco,2021-11-26,"$1,204",67,$155,Bars,Yummies
Mallorie Waber,Organic Choco Syrup,2021-11-26,"$7,238",250,$445,Other,Tempo
Gunar Cockshoot,After Nines,2021-11-26,"$2,359",91,$577,Bites,Yummies
Marney O'Breen,Mint Chip Choco,2021-11-26,"$4,676",234,$498,Bars,Yummies
Beverie Moffet,Choco Coated Almonds,2021-11-26,"$4,893",233,"$2,833",Bites,Jucies
Karlen McCaffrey,Choco Coated Almonds,2021-11-26,"$5,152",258,"$2,870",Bites,Yummies
Andria Kimpton,Manuka Honey Choco,2021-11-27,"$3,808",142,"$1,188",Other,Jucies
Andria Kimpton,Peanut Butter Cubes,2021-11-27,"$6,538",273,"$1,491",Bites,Jucies
Dotty Strutley,White Choc,2021-11-27,"$3,486",249,$71,Other,Delish
Barr Faughny,After Nines,2021-11-27,"$4,865",174,"$1,170",Bites,Yummies
Van Tuxwell,White Choc,2021-11-27,"$4,606",384,$108,Other,Yummies
Jehu Rudeforth,Caramel Stuffed Bars,2021-11-27,$35,2,$2,Bars,Tempo
Gunar Cockshoot,Smooth Sliky Salty,2021-11-27,"$6,069",304,"$1,557",Bars,Yummies
Barr Faughny,Caramel Stuffed Bars,2021-11-27,$21,1,$1,Bars,Yummies
Gigi Bohling,Milk Bars,2021-11-27,"$8,071",299,$519,Bars,Delish
Husein Augar,70% Dark Bites,2021-11-27,"$2,716",194,"$1,647",Bites,Yummies
Kelci Walkden,Orange Choco,2021-11-27,"$7,574",842,"$8,065",Bars,Yummies
Oby Sorrel,Mint Chip Choco,2021-11-27,$931,52,$118,Bars,Jucies
Mallorie Waber,Raspberry Choco,2021-11-27,"$9,499",500,"$3,263",Bars,Tempo
Van Tuxwell,Orange Choco,2021-11-27,$350,25,$209,Bars,Yummies
Barr Faughny,Almond Choco,2021-11-27,$371,20,$270,Bars,Yummies
Karlen McCaffrey,Caramel Stuffed Bars,2021-11-27,"$10,367",432,$357,Bars,Yummies
Andria Kimpton,85% Dark Bars,2021-11-27,"$9,597",600,$426,Bars,Jucies
Rafaelita Blaksland,99% Dark & Pure,2021-11-27,"$2,443",102,$461,Bars,Yummies
Wilone O'Kielt,Manuka Honey Choco,2021-11-27,"$3,556",123,$971,Other,Delish
Rafaelita Blaksland,Drinking Coco,2021-11-27,"$2,457",82,$232,Other,Yummies
Wilone O'Kielt,White Choc,2021-11-27,"$16,170",952,$259,Other,Delish
Gigi Bohling,Spicy Special Slims,2021-11-27,"$8,456",302,"$2,864",Bites,Delish
Ches Bonnell,Mint Chip Choco,2021-11-27,$28,2,$5,Bars,Tempo
Dennison Crosswaite,85% Dark Bars,2021-11-27,"$10,794",450,$366,Bars,Yummies
Madelene Upcott,Choco Coated Almonds,2021-11-27,"$7,539",444,"$5,347",Bites,Jucies
Barr Faughny,Caramel Stuffed Bars,2021-11-28,"$2,982",120,$128,Bars,Yummies
Madelene Upcott,Mint Chip Choco,2021-11-28,"$6,237",347,$881,Bars,Jucies
Karlen McCaffrey,White Choc,2021-11-28,"$11,564",1285,$306,Other,Yummies
Kelci Walkden,Mint Chip Choco,2021-11-28,$105,7,$15,Bars,Yummies
Gunar Cockshoot,Organic Choco Syrup,2021-11-29,"$10,402",417,$831,Other,Yummies
Karlen McCaffrey,Fruit & Nut Bars,2021-11-29,"$20,993",1235,"$2,204",Bars,Yummies
Kaine Padly,99% Dark & Pure,2021-11-29,"$7,658",383,"$1,999",Bars,Delish
Camilla Castle,Mint Chip Choco,2021-11-29,"$1,981",105,$276,Bars,Tempo
Camilla Castle,Orange Choco,2021-11-29,"$4,816",402,"$4,204",Bars,Tempo
Andria Kimpton,Peanut Butter Cubes,2021-11-29,"$3,661",147,$810,Bites,Jucies
Andria Kimpton,Spicy Special Slims,2021-11-29,"$2,688",128,"$1,132",Bites,Jucies
Barr Faughny,Manuka Honey Choco,2021-11-29,"$2,534",80,$751,Other,Yummies
Ches Bonnell,Mint Chip Choco,2021-11-29,"$1,820",91,$212,Bars,Tempo
Jan Morforth,Choco Coated Almonds,2021-11-29,"$5,432",388,"$4,494",Bites,Delish
Kelci Walkden,99% Dark & Pure,2021-11-30,"$7,189",400,"$1,994",Bars,Yummies
Jan Morforth,Milk Bars,2021-11-30,"$6,188",207,$375,Bars,Delish
Curtice Advani,Caramel Stuffed Bars,2021-11-30,"$3,283",150,$134,Bars,Delish
Mallorie Waber,50% Dark Bites,2021-11-30,"$6,524",502,"$1,602",Bites,Tempo
Kaine Padly,Manuka Honey Choco,2021-11-30,"$5,180",192,"$1,364",Other,Delish
Andria Kimpton,Baker's Choco Chips,2021-11-30,"$12,838",803,"$5,469",Bars,Jucies
Dennison Crosswaite,Milk Bars,2021-11-30,"$4,648",194,$434,Bars,Yummies
Ches Bonnell,Peanut Butter Cubes,2021-11-30,"$3,031",127,$538,Bites,Tempo
Barr Faughny,Smooth Sliky Salty,2021-11-30,"$10,990",785,"$3,547",Bars,Yummies
Andria Kimpton,Fruit & Nut Bars,2021-11-30,"$1,078",72,$109,Bars,Jucies
Andria Kimpton,White Choc,2021-11-30,"$8,218",822,$190,Other,Jucies
Jehu Rudeforth,Baker's Choco Chips,2021-11-30,"$10,381",944,"$6,487",Bars,Tempo
Gunar Cockshoot,Milk Bars,2021-11-30,"$1,085",41,$70,Bars,Yummies
Gunar Cockshoot,Baker's Choco Chips,2021-11-30,"$3,052",191,"$1,231",Bars,Yummies
Brien Boise,Milk Bars,2021-12-03,"$4,214",151,$293,Bars,Jucies
Husein Augar,70% Dark Bites,2021-12-03,"$3,178",245,"$1,999",Bites,Yummies
Jan Morforth,70% Dark Bites,2021-12-03,"$3,066",384,"$3,102",Bites,Delish
Beverie Moffet,Fruit & Nut Bars,2021-12-03,"$9,485",949,"$1,497",Bars,Jucies
Karlen McCaffrey,Raspberry Choco,2021-12-03,"$3,955",264,"$1,658",Bars,Yummies
Roddy Speechley,Almond Choco,2021-12-03,"$6,538",312,"$4,831",Bars,Delish
Kaine Padly,Milk Bars,2021-12-03,"$10,178",329,$718,Bars,Delish
Madelene Upcott,Caramel Stuffed Bars,2021-12-03,"$7,882",359,$294,Bars,Jucies
Curtice Advani,Mint Chip Choco,2021-12-03,"$5,943",372,$851,Bars,Delish
Curtice Advani,50% Dark Bites,2021-12-03,"$4,088",256,$667,Bites,Delish
Kaine Padly,Spicy Special Slims,2021-12-03,$749,28,$232,Bites,Delish
Van Tuxwell,Milk Bars,2021-12-03,"$13,958",451,$774,Bars,Yummies
Kaine Padly,Almond Choco,2021-12-03,"$5,901",296,"$3,912",Bars,Delish
Camilla Castle,50% Dark Bites,2021-12-03,"$6,342",793,"$2,487",Bites,Tempo
Kelci Walkden,White Choc,2021-12-03,$315,19,$5,Other,Yummies
Gunar Cockshoot,Baker's Choco Chips,2021-12-03,$147,14,$100,Bars,Yummies
Kelci Walkden,After Nines,2021-12-03,"$10,213",365,"$2,361",Bites,Yummies
Beverie Moffet,85% Dark Bars,2021-12-03,"$8,484",386,$255,Bars,Jucies
Kaine Padly,Eclairs,2021-12-03,$532,26,$71,Bites,Delish
Madelene Upcott,Raspberry Choco,2021-12-03,"$8,785",550,"$3,455",Bars,Jucies
Gigi Bohling,Smooth Sliky Salty,2021-12-03,"$8,001",572,"$2,584",Bars,Delish
Mallorie Waber,Orange Choco,2021-12-03,$364,37,$319,Bars,Tempo
Dennison Crosswaite,Fruit & Nut Bars,2021-12-03,"$2,331",138,$251,Bars,Yummies
Beverie Moffet,50% Dark Bites,2021-12-03,"$7,665",480,"$1,290",Bites,Jucies
Roddy Speechley,Smooth Sliky Salty,2021-12-03,"$2,905",224,"$1,091",Bars,Delish
Roddy Speechley,85% Dark Bars,2021-12-03,"$6,230",260,$185,Bars,Delish
Dennison Crosswaite,50% Dark Bites,2021-12-03,"$2,758",345,$937,Bites,Yummies
Barr Faughny,70% Dark Bites,2021-12-03,"$2,352",181,"$1,552",Bites,Yummies
Dennison Crosswaite,Organic Choco Syrup,2021-12-03,"$2,779",93,$197,Other,Yummies
Gigi Bohling,Manuka Honey Choco,2021-12-03,$7,1,$9,Other,Delish
Brien Boise,Drinking Coco,2021-12-04,"$3,213",111,$330,Other,Jucies
Oby Sorrel,Raspberry Choco,2021-12-04,"$9,275",489,"$3,101",Bars,Jucies
Gigi Bohling,Raspberry Choco,2021-12-04,"$4,368",199,"$1,286",Bars,Delish
Rafaelita Blaksland,Spicy Special Slims,2021-12-04,"$10,633",409,"$3,842",Bites,Yummies
Ches Bonnell,Raspberry Choco,2021-12-04,"$11,319",708,"$4,361",Bars,Tempo
Gunar Cockshoot,Smooth Sliky Salty,2021-12-04,"$8,799",518,"$2,652",Bars,Yummies
Madelene Upcott,Spicy Special Slims,2021-12-04,"$2,695",104,"$1,054",Bites,Jucies
Dennison Crosswaite,White Choc,2021-12-04,$245,25,$6,Other,Yummies
Mallorie Waber,Baker's Choco Chips,2021-12-04,"$3,647",406,"$2,691",Bars,Tempo
Dennison Crosswaite,Manuka Honey Choco,2021-12-04,"$6,412",257,"$2,129",Other,Yummies
Husein Augar,Peanut Butter Cubes,2021-12-04,"$2,905",112,$622,Bites,Yummies
Dennison Crosswaite,After Nines,2021-12-04,"$13,650",427,"$2,545",Bites,Yummies
Kaine Padly,Choco Coated Almonds,2021-12-04,$623,37,$467,Bites,Delish
Dennison Crosswaite,70% Dark Bites,2021-12-04,"$5,131",514,"$3,813",Bites,Yummies
Dennison Crosswaite,Orange Choco,2021-12-04,"$8,722",970,"$9,631",Bars,Yummies
Jehu Rudeforth,Baker's Choco Chips,2021-12-05,"$1,211",87,$487,Bars,Tempo
Jan Morforth,50% Dark Bites,2021-12-05,"$2,002",126,$392,Bites,Delish
Gigi Bohling,Fruit & Nut Bars,2021-12-05,"$2,100",175,$282,Bars,Delish
Dennison Crosswaite,Baker's Choco Chips,2021-12-05,"$2,765",231,"$1,377",Bars,Yummies
Oby Sorrel,Organic Choco Syrup,2021-12-05,"$9,198",318,$555,Other,Jucies
Camilla Castle,Almond Choco,2021-12-05,"$5,852",391,"$4,854",Bars,Tempo
Van Tuxwell,Spicy Special Slims,2021-12-05,"$17,892",746,"$8,106",Bites,Yummies
Karlen McCaffrey,Drinking Coco,2021-12-05,"$5,117",223,$536,Other,Yummies
Dotty Strutley,Almond Choco,2021-12-05,"$3,024",144,"$2,249",Bars,Delish
Rafaelita Blaksland,Smooth Sliky Salty,2021-12-05,"$3,479",174,$961,Bars,Yummies
Husein Augar,85% Dark Bars,2021-12-05,"$1,554",74,$49,Bars,Yummies
Van Tuxwell,Almond Choco,2021-12-05,"$2,884",145,"$1,936",Bars,Yummies
Madelene Upcott,Smooth Sliky Salty,2021-12-05,"$4,774",299,"$1,741",Bars,Jucies
Karlen McCaffrey,Fruit & Nut Bars,2021-12-05,"$3,556",238,$402,Bars,Yummies
Gunar Cockshoot,50% Dark Bites,2021-12-05,"$7,742",484,"$1,545",Bites,Yummies
Wilone O'Kielt,Fruit & Nut Bars,2021-12-05,$917,51,$81,Bars,Delish
Husein Augar,Eclairs,2021-12-06,"$8,176",546,"$1,693",Bites,Yummies
Brien Boise,Fruit & Nut Bars,2021-12-06,"$14,357",1026,"$1,602",Bars,Jucies
Curtice Advani,Drinking Coco,2021-12-06,"$4,669",187,$505,Other,Delish
Barr Faughny,Manuka Honey Choco,2021-12-06,"$13,608",504,"$4,176",Other,Yummies
Curtice Advani,Eclairs,2021-12-06,"$2,933",140,$387,Bites,Delish
Kelci Walkden,Almond Choco,2021-12-06,"$7,056",471,"$7,167",Bars,Yummies
Van Tuxwell,Almond Choco,2021-12-06,"$10,024",627,"$8,955",Bars,Yummies
Gunar Cockshoot,After Nines,2021-12-06,"$4,438",154,$928,Bites,Yummies
Andria Kimpton,50% Dark Bites,2021-12-07,"$14,413",1602,"$5,024",Bites,Jucies
Beverie Moffet,Drinking Coco,2021-12-07,"$4,305",160,$476,Other,Jucies
Dotty Strutley,50% Dark Bites,2021-12-07,"$1,729",133,$372,Bites,Delish
Andria Kimpton,99% Dark & Pure,2021-12-07,$91,5,$24,Bars,Jucies
Gigi Bohling,Fruit & Nut Bars,2021-12-07,$637,49,$70,Bars,Delish
Mallorie Waber,White Choc,2021-12-07,"$10,178",727,$182,Other,Tempo
Karlen McCaffrey,Orange Choco,2021-12-07,"$1,358",170,"$1,464",Bars,Yummies
Ches Bonnell,Milk Bars,2021-12-07,"$3,423",111,$224,Bars,Tempo
Beverie Moffet,Mint Chip Choco,2021-12-07,"$4,291",253,$539,Bars,Jucies
Gigi Bohling,Raspberry Choco,2021-12-07,"$4,970",332,"$1,984",Bars,Delish
Camilla Castle,After Nines,2021-12-07,"$6,874",265,"$1,714",Bites,Tempo
Mallorie Waber,Drinking Coco,2021-12-07,"$4,550",198,$456,Other,Tempo
Beverie Moffet,Smooth Sliky Salty,2021-12-07,"$1,652",92,$466,Bars,Jucies
Roddy Speechley,White Choc,2021-12-07,"$1,946",163,$42,Other,Delish
Jehu Rudeforth,Almond Choco,2021-12-07,"$8,407",526,"$8,215",Bars,Tempo
Barr Faughny,85% Dark Bars,2021-12-07,"$2,422",143,$109,Bars,Yummies
Camilla Castle,Milk Bars,2021-12-07,"$4,788",178,$309,Bars,Tempo
Dennison Crosswaite,Mint Chip Choco,2021-12-07,$294,17,$46,Bars,Yummies
Karlen McCaffrey,Eclairs,2021-12-10,"$5,453",390,"$1,012",Bites,Yummies
Kelci Walkden,Peanut Butter Cubes,2021-12-10,"$7,378",352,"$1,756",Bites,Yummies
Jan Morforth,White Choc,2021-12-10,"$10,710",670,$182,Other,Delish
Kelci Walkden,Almond Choco,2021-12-10,"$2,807",156,"$2,291",Bars,Yummies
Camilla Castle,Orange Choco,2021-12-10,"$9,044",754,"$7,354",Bars,Tempo
Camilla Castle,Milk Bars,2021-12-10,"$5,446",195,$353,Bars,Tempo
Mallorie Waber,Mint Chip Choco,2021-12-10,"$16,065",1236,"$3,276",Bars,Tempo
Husein Augar,Almond Choco,2021-12-10,"$3,682",168,"$2,063",Bars,Yummies
Mallorie Waber,Eclairs,2021-12-10,"$2,548",142,$456,Bites,Tempo
Andria Kimpton,Caramel Stuffed Bars,2021-12-10,"$3,052",114,$103,Bars,Jucies
Dennison Crosswaite,Baker's Choco Chips,2021-12-10,$623,52,$291,Bars,Yummies
Van Tuxwell,70% Dark Bites,2021-12-10,"$3,738",468,"$3,588",Bites,Yummies
Camilla Castle,Caramel Stuffed Bars,2021-12-11,"$1,750",65,$67,Bars,Tempo
Mallorie Waber,Fruit & Nut Bars,2021-12-11,"$4,053",226,$385,Bars,Tempo
Camilla Castle,Manuka Honey Choco,2021-12-11,"$2,702",82,$647,Other,Tempo
Ches Bonnell,White Choc,2021-12-11,"$7,987",888,$224,Other,Tempo
Karlen McCaffrey,Drinking Coco,2021-12-11,"$1,148",48,$123,Other,Yummies
Husein Augar,Milk Bars,2021-12-12,"$4,186",140,$253,Bars,Yummies
Van Tuxwell,Eclairs,2021-12-12,"$5,229",276,$879,Bites,Yummies
Van Tuxwell,Manuka Honey Choco,2021-12-12,"$6,146",212,"$1,589",Other,Yummies
Beverie Moffet,85% Dark Bars,2021-12-12,"$11,102",505,$344,Bars,Jucies
Rafaelita Blaksland,Almond Choco,2021-12-12,"$15,603",1041,"$13,896",Bars,Yummies
Rafaelita Blaksland,Eclairs,2021-12-12,"$2,758",138,$436,Bites,Yummies
Kelci Walkden,White Choc,2021-12-12,"$7,420",619,$155,Other,Yummies
Curtice Advani,99% Dark & Pure,2021-12-12,"$2,345",107,$514,Bars,Delish
Curtice Advani,70% Dark Bites,2021-12-12,"$12,362",1546,"$12,998",Bites,Delish
Gigi Bohling,Smooth Sliky Salty,2021-12-12,$420,33,$162,Bars,Delish
Gunar Cockshoot,Peanut Butter Cubes,2021-12-13,"$6,440",293,"$1,586",Bites,Yummies
Wilone O'Kielt,White Choc,2021-12-13,"$11,613",726,$203,Other,Delish
Marney O'Breen,Peanut Butter Cubes,2021-12-13,"$14,910",785,"$4,212",Bites,Yummies
Kelci Walkden,Raspberry Choco,2021-12-13,$455,23,$142,Bars,Yummies
Dotty Strutley,Baker's Choco Chips,2021-12-13,$784,56,$371,Bars,Delish
Beverie Moffet,White Choc,2021-12-14,"$2,597",200,$47,Other,Jucies
Van Tuxwell,After Nines,2021-12-14,"$4,543",157,"$1,095",Bites,Yummies
Beverie Moffet,Orange Choco,2021-12-14,"$4,452",636,"$5,253",Bars,Jucies
Mallorie Waber,Raspberry Choco,2021-12-14,"$5,544",370,"$2,279",Bars,Tempo
Kelci Walkden,Orange Choco,2021-12-14,"$5,215",580,"$4,944",Bars,Yummies
Camilla Castle,Fruit & Nut Bars,2021-12-14,"$3,052",306,$458,Bars,Tempo
Husein Augar,Drinking Coco,2021-12-14,"$19,579",676,"$1,976",Other,Yummies
Dotty Strutley,Peanut Butter Cubes,2021-12-14,$217,10,$53,Bites,Delish
Van Tuxwell,Orange Choco,2021-12-14,"$3,080",237,"$2,416",Bars,Yummies
Beverie Moffet,White Choc,2021-12-14,"$3,934",303,$87,Other,Jucies
Marney O'Breen,Organic Choco Syrup,2021-12-14,"$2,506",97,$168,Other,Yummies
Curtice Advani,Mint Chip Choco,2021-12-14,"$5,782",413,$926,Bars,Delish
Barr Faughny,Orange Choco,2021-12-14,"$9,016",752,"$6,740",Bars,Yummies
Van Tuxwell,Eclairs,2021-12-14,"$1,638",82,$234,Bites,Yummies
Brien Boise,Caramel Stuffed Bars,2021-12-14,"$5,950",213,$215,Bars,Jucies
Kaine Padly,Orange Choco,2021-12-14,"$3,948",439,"$3,588",Bars,Delish
Madelene Upcott,Organic Choco Syrup,2021-12-17,"$5,278",182,$305,Other,Jucies
Beverie Moffet,Peanut Butter Cubes,2021-12-17,"$5,026",240,"$1,299",Bites,Jucies
Oby Sorrel,Peanut Butter Cubes,2021-12-17,"$5,208",248,"$1,167",Bites,Jucies
Karlen McCaffrey,Smooth Sliky Salty,2021-12-17,"$5,593",431,"$1,991",Bars,Yummies
Madelene Upcott,99% Dark & Pure,2021-12-17,"$3,689",168,$924,Bars,Jucies
Barr Faughny,Raspberry Choco,2021-12-17,"$9,170",437,"$2,452",Bars,Yummies
Camilla Castle,Raspberry Choco,2021-12-17,"$3,094",172,"$1,196",Bars,Tempo
Curtice Advani,Organic Choco Syrup,2021-12-17,"$7,777",289,$479,Other,Delish
Gunar Cockshoot,85% Dark Bars,2021-12-17,"$11,109",505,$422,Bars,Yummies
Van Tuxwell,50% Dark Bites,2021-12-17,"$4,158",297,$882,Bites,Yummies
Dennison Crosswaite,Organic Choco Syrup,2021-12-17,"$9,863",395,$689,Other,Yummies
Jehu Rudeforth,Orange Choco,2021-12-17,"$3,101",259,"$2,048",Bars,Tempo
Jehu Rudeforth,Smooth Sliky Salty,2021-12-17,"$3,864",298,"$1,421",Bars,Tempo
Gunar Cockshoot,After Nines,2021-12-17,"$8,428",291,"$1,919",Bites,Yummies
Brien Boise,Baker's Choco Chips,2021-12-17,"$14,574",1122,"$8,051",Bars,Jucies
Andria Kimpton,Raspberry Choco,2021-12-17,"$7,315",431,"$2,392",Bars,Jucies
